                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1827,                 1.6837,                 1.6005,                0.53112,                0.60247,                0.56611,                0.25746,                 2.0055,                 2.5764,                 1.6261,              0.0099366,              0.0099366,              0.0099366
                     35,                 2.1649,                 1.6005,                 1.6023,                0.61906,                0.54281,                0.60035,                0.28004,                 1.9763,                 3.4205,                 1.5869,              0.0099347,              0.0099347,              0.0099347
                     36,                 2.1157,                 1.5836,                 1.5627,                0.53858,                0.56004,                0.60956,                0.27551,                 2.0831,                 1.8079,                 1.6367,              0.0099327,              0.0099327,              0.0099327
                     37,                 2.0953,                 1.5263,                 1.5327,                0.54749,                0.60358,                0.54061,                0.21565,                 2.0739,                 2.3991,                 1.6049,              0.0099307,              0.0099307,              0.0099307
                     38,                 2.0744,                 1.5078,                 1.5413,                0.73202,                0.50438,                0.60416,                0.26002,                 2.0696,                   1.84,                 1.6021,              0.0099287,              0.0099287,              0.0099287
                     39,                 2.1181,                 1.5295,                 1.5533,                0.59601,                0.62591,                0.63881,                 0.3011,                 2.0127,                 1.5413,                   1.57,              0.0099267,              0.0099267,              0.0099267
                     40,                 2.0951,                  1.484,                 1.5418,                0.60441,                0.54686,                0.54476,                0.25017,                 2.0632,                 1.7378,                  1.598,              0.0099248,              0.0099248,              0.0099248
                     41,                 2.1228,                 1.5312,                 1.5791,                0.62968,                 0.5616,                0.60168,                0.25541,                  1.961,                 1.6543,                 1.5528,              0.0099228,              0.0099228,              0.0099228
                     42,                 2.0917,                 1.5071,                 1.5503,                0.61927,                0.45698,                0.53453,                0.21897,                 2.1088,                 1.7259,                 1.6449,              0.0099208,              0.0099208,              0.0099208
                     43,                 2.0099,                 1.4373,                 1.5163,                0.60799,                 0.6262,                0.62776,                0.29244,                 1.9915,                 1.5322,                 1.5525,              0.0099188,              0.0099188,              0.0099188
                     44,                 2.0217,                  1.363,                 1.4846,                0.67065,                0.60178,                0.68993,                0.29142,                 2.0455,                 1.4949,                 1.5685,              0.0099168,              0.0099168,              0.0099168
                     45,                 2.1038,                 1.4633,                 1.5247,                0.72917,                0.69481,                0.72537,                0.32377,                 1.9604,                 1.4248,                 1.5267,              0.0099149,              0.0099149,              0.0099149
                     46,                 1.9735,                  1.358,                 1.4704,                0.65528,                0.47146,                0.59177,                0.27007,                 2.0015,                 2.3074,                 1.5968,              0.0099129,              0.0099129,              0.0099129
                     47,                 2.0127,                 1.4279,                 1.5614,                0.75635,                0.65209,                0.73223,                0.31715,                 1.9012,                   1.33,                 1.4992,              0.0099109,              0.0099109,              0.0099109
                     48,                 1.9792,                 1.3718,                 1.4732,                0.72745,                 0.6408,                 0.6997,                0.31046,                 1.9581,                 1.4617,                 1.5029,              0.0099089,              0.0099089,              0.0099089
                     49,                 1.9599,                 1.3288,                  1.461,                0.68901,                0.58605,                0.67781,                0.28644,                 1.9952,                 1.4898,                 1.5204,              0.0099069,              0.0099069,              0.0099069
                     50,                  1.988,                 1.3561,                 1.4824,                0.61944,                0.65985,                 0.6596,                0.26071,                 2.0618,                 1.4062,                 1.5658,               0.009905,               0.009905,               0.009905
                     51,                 1.9695,                 1.3275,                  1.444,                 0.7629,                0.66346,                0.75356,                0.34547,                 1.9155,                 1.3138,                 1.4989,               0.009903,               0.009903,               0.009903
                     52,                 1.9744,                 1.3036,                 1.4589,                0.79945,                0.62883,                0.75716,                0.34847,                  1.883,                 1.3168,                 1.4839,               0.009901,               0.009901,               0.009901
                     53,                 1.9272,                 1.2955,                 1.4692,                0.79796,                0.55882,                0.69295,                0.30428,                 1.9685,                 1.3914,                  1.527,               0.009899,               0.009899,               0.009899
                     54,                 1.9316,                 1.3075,                 1.4509,                0.73193,                0.69751,                0.77339,                0.34887,                 1.8964,                 1.3459,                 1.5108,               0.009897,               0.009897,               0.009897
                     55,                 1.8697,                 1.2441,                 1.4069,                0.75522,                0.69743,                0.78717,                0.36251,                 1.8459,                 1.2818,                 1.4427,              0.0098951,              0.0098951,              0.0098951
                     56,                 1.9205,                 1.2762,                 1.4418,                0.73816,                0.75301,                 0.7844,                0.38109,                 1.8093,                 1.2082,                 1.4514,              0.0098931,              0.0098931,              0.0098931
                     57,                  1.949,                 1.2976,                 1.4428,                0.64531,                 0.6946,                0.76421,                0.35195,                 1.8948,                 1.3278,                 1.4736,              0.0098911,              0.0098911,              0.0098911
                     58,                 1.9032,                 1.2274,                 1.4219,                  0.727,                0.63451,                0.76026,                 0.3411,                 1.8457,                 1.2811,                 1.4646,              0.0098891,              0.0098891,              0.0098891
                     59,                 1.8819,                 1.2352,                 1.3974,                 0.8566,                0.58954,                0.76075,                0.35217,                 1.8754,                 1.4381,                 1.4676,              0.0098871,              0.0098871,              0.0098871
                     60,                  1.924,                 1.2341,                 1.4229,                0.71035,                0.67708,                0.72259,                0.31972,                 1.9268,                 1.2691,                 1.5012,              0.0098852,              0.0098852,              0.0098852
                     61,                 1.8576,                 1.2128,                 1.4037,                 0.7315,                0.56156,                0.67121,                0.29003,                 1.9886,                 1.3391,                 1.5288,              0.0098832,              0.0098832,              0.0098832
                     62,                 1.8445,                 1.1836,                 1.3964,                0.70764,                0.67483,                0.74768,                0.34551,                 1.8889,                 1.2326,                 1.4688,              0.0098812,              0.0098812,              0.0098812
                     63,                 1.9164,                 1.2077,                  1.444,                0.70634,                0.59042,                0.62812,                0.24134,                 2.1669,                 1.4671,                 1.6102,              0.0098792,              0.0098792,              0.0098792
                     64,                 1.8363,                 1.1443,                 1.3656,                0.75487,                0.61581,                0.70315,                 0.2892,                 2.0706,                  1.347,                 1.5319,              0.0098772,              0.0098772,              0.0098772
                     65,                 1.8814,                 1.1917,                 1.3961,                0.80969,                0.66736,                0.82735,                0.39034,                 1.8302,                  1.188,                 1.4468,              0.0098753,              0.0098753,              0.0098753
                     66,                 1.8561,                 1.1604,                 1.3779,                0.79325,                0.70425,                0.81116,                0.34664,                  1.931,                 1.2936,                 1.4688,              0.0098733,              0.0098733,              0.0098733
                     67,                  1.844,                  1.225,                 1.3936,                0.82289,                0.68671,                0.80328,                0.38498,                  1.809,                 1.1951,                 1.4204,              0.0098713,              0.0098713,              0.0098713
                     68,                 1.8354,                 1.1513,                 1.3486,                0.81094,                0.65065,                0.75746,                0.30972,                 2.0533,                 1.2116,                 1.5319,              0.0098693,              0.0098693,              0.0098693
                     69,                   1.81,                 1.1525,                 1.3678,                0.81442,                0.74066,                0.83648,                 0.4088,                 1.7748,                 1.0675,                 1.3954,              0.0098673,              0.0098673,              0.0098673
                     70,                 1.8093,                 1.1336,                 1.3359,                0.80861,                0.73041,                0.85208,                0.40616,                 1.8531,                 1.1463,                 1.4309,              0.0098654,              0.0098654,              0.0098654
                     71,                 1.8207,                 1.1091,                 1.3646,                0.74578,                 0.8042,                0.86273,                0.39835,                 1.8665,                 1.2271,                 1.4589,              0.0098634,              0.0098634,              0.0098634
                     72,                 1.8247,                 1.1091,                 1.3454,                0.74828,                 0.7759,                0.84533,                0.39184,                 1.8241,                 1.0959,                 1.4289,              0.0098614,              0.0098614,              0.0098614
                     73,                  1.763,                 1.0969,                 1.3497,                0.78565,                0.78676,                0.85115,                 0.4135,                  1.804,                  1.097,                 1.4256,              0.0098594,              0.0098594,              0.0098594
                     74,                 1.7728,                 1.0957,                 1.3591,                0.79765,                0.71502,                0.77705,                0.33094,                 2.0243,                 1.1352,                 1.5324,              0.0098574,              0.0098574,              0.0098574
                     75,                 1.8129,                 1.0928,                 1.3471,                0.91204,                0.72261,                0.84665,                0.42139,                 1.7743,                 1.0906,                 1.3913,              0.0098555,              0.0098555,              0.0098555
                     76,                 1.7946,                 1.1097,                 1.3319,                0.74118,                0.82347,                 0.8505,                0.38726,                 1.8742,                 1.2106,                 1.4371,              0.0098535,              0.0098535,              0.0098535
                     77,                 1.8093,                 1.0845,                 1.3635,                0.82342,                0.76765,                0.84501,                0.41032,                 1.7909,                 1.1439,                 1.3949,              0.0098515,              0.0098515,              0.0098515
                     78,                 1.7847,                 1.0975,                 1.3686,                0.75443,                0.80877,                0.83648,                0.41271,                  1.774,                  1.117,                 1.3999,              0.0098495,              0.0098495,              0.0098495
                     79,                  1.801,                 1.0911,                 1.3512,                0.79016,                0.82741,                0.85217,                0.41027,                 1.7933,                  1.079,                 1.4074,              0.0098475,              0.0098475,              0.0098475
                     80,                 1.7672,                 1.0829,                  1.349,                0.84938,                0.67711,                0.80304,                0.38588,                 1.8879,                 1.1317,                 1.4617,              0.0098456,              0.0098456,              0.0098456
                     81,                 1.7792,                 1.0696,                 1.3506,                0.70187,                0.75922,                0.80591,                0.41015,                 1.7996,                 1.1385,                 1.4098,              0.0098436,              0.0098436,              0.0098436
                     82,                 1.7684,                 1.0947,                 1.3596,                0.76361,                0.83337,                0.85779,                0.40998,                 1.8315,                 1.1053,                 1.4373,              0.0098416,              0.0098416,              0.0098416
                     83,                 1.7298,                 1.0314,                 1.3137,                0.79605,                0.83915,                0.88389,                0.42445,                 1.7904,                 1.0547,                  1.405,              0.0098396,              0.0098396,              0.0098396
                     84,                 1.7519,                 1.0542,                 1.3215,                0.74114,                0.84042,                0.86402,                0.41106,                 1.8131,                 1.1211,                 1.4247,              0.0098376,              0.0098376,              0.0098376
                     85,                 1.7653,                 1.0456,                 1.3163,                0.77675,                0.73174,                0.82069,                0.39063,                 1.7832,                 1.1452,                 1.4141,              0.0098357,              0.0098357,              0.0098357
                     86,                  1.779,                  1.084,                 1.3434,                0.84538,                0.81373,                0.87696,                0.41606,                 1.7718,                 1.0347,                 1.3872,              0.0098337,              0.0098337,              0.0098337
                     87,                 1.7532,                 1.0649,                 1.3483,                0.80056,                0.71917,                0.83266,                0.38389,                 1.8201,                 1.1407,                 1.4151,              0.0098317,              0.0098317,              0.0098317
                     88,                 1.7613,                 1.0478,                  1.326,                0.85355,                 0.7298,                 0.8347,                  0.414,                 1.7624,                 1.0463,                 1.3921,              0.0098297,              0.0098297,              0.0098297
                     89,                 1.7326,                 1.0224,                 1.3202,                 0.7878,                0.76806,                0.84197,                0.41381,                  1.797,                 1.0505,                 1.4094,              0.0098277,              0.0098277,              0.0098277
                     90,                 1.7381,                 1.0497,                 1.3222,                0.80315,                0.82664,                0.88788,                0.42426,                 1.8094,                 1.0126,                 1.4006,              0.0098258,              0.0098258,              0.0098258
                     91,                 1.7115,                 1.0498,                 1.3076,                0.78376,                0.79889,                0.85321,                0.41782,                 1.7646,                 1.0694,                 1.3877,              0.0098238,              0.0098238,              0.0098238
                     92,                  1.757,                 1.0211,                 1.3164,                0.81887,                0.77569,                0.84258,                  0.414,                 1.8058,                 1.0554,                 1.4174,              0.0098218,              0.0098218,              0.0098218
                     93,                 1.7206,                 1.0348,                 1.3355,                0.86666,                0.74933,                0.85017,                0.41415,                 1.7962,                 1.0644,                 1.4132,              0.0098198,              0.0098198,              0.0098198
                     94,                 1.7154,                 1.0157,                 1.2926,                0.82506,                0.80788,                0.89015,                0.42187,                  1.795,                 1.0649,                  1.415,              0.0098178,              0.0098178,              0.0098178
                     95,                 1.7341,                0.99403,                 1.2949,                0.81298,                0.80913,                0.87486,                0.42685,                 1.7695,                 1.0634,                  1.382,              0.0098159,              0.0098159,              0.0098159
                     96,                  1.716,                0.99459,                  1.286,                0.79153,                0.76616,                0.84018,                0.42364,                 1.8106,                 1.0102,                 1.3985,              0.0098139,              0.0098139,              0.0098139
                     97,                 1.7484,                 1.0331,                 1.3192,                0.80779,                0.78895,                0.85734,                0.42393,                 1.7892,                  1.066,                 1.3975,              0.0098119,              0.0098119,              0.0098119
                     98,                 1.6819,                0.98154,                 1.3147,                0.83132,                0.82453,                 0.8976,                0.43391,                 1.7614,                0.98631,                 1.3651,              0.0098099,              0.0098099,              0.0098099
                     99,                 1.7129,                0.99956,                 1.3335,                0.74268,                0.82359,                0.85983,                0.42093,                 1.7838,                0.99471,                 1.3716,              0.0098079,              0.0098079,              0.0098079
                    100,                 1.6655,                0.97301,                 1.2895,                0.84273,                0.84101,                0.88681,                 0.4275,                  1.785,                0.96671,                 1.3906,               0.009806,               0.009806,               0.009806
                    101,                  1.668,                 0.9781,                 1.2796,                 0.8319,                0.76117,                0.86395,                0.41471,                 1.8247,                0.98476,                 1.3976,               0.009804,               0.009804,               0.009804
                    102,                 1.7197,                0.97503,                 1.2854,                0.80076,                0.75735,                0.84065,                0.39296,                 1.8225,                 1.0697,                 1.3947,               0.009802,               0.009802,               0.009802
                    103,                 1.6781,                0.99183,                 1.3231,                0.85009,                0.81946,                0.89269,                0.43665,                 1.7874,                0.97954,                 1.3958,                 0.0098,                 0.0098,                 0.0098
                    104,                 1.6518,                0.97747,                 1.2918,                0.84012,                0.81993,                0.88588,                 0.4427,                 1.7082,                0.98365,                 1.3569,               0.009798,               0.009798,               0.009798
                    105,                 1.6343,                0.96804,                 1.2551,                0.78198,                0.86117,                0.86984,                0.43746,                 1.7315,                0.96269,                 1.3611,              0.0097961,              0.0097961,              0.0097961
                    106,                 1.6209,                0.94696,                 1.2626,                0.81116,                0.78124,                0.86691,                0.41616,                 1.7872,                 1.0043,                 1.3992,              0.0097941,              0.0097941,              0.0097941
                    107,                 1.6708,                0.96588,                 1.2698,                0.80375,                0.80078,                0.85783,                0.41812,                 1.8097,                0.95759,                 1.4188,              0.0097921,              0.0097921,              0.0097921
                    108,                 1.6126,                0.93666,                 1.2639,                0.84102,                0.86598,                0.90695,                0.44343,                 1.7904,                 0.9707,                 1.3844,              0.0097901,              0.0097901,              0.0097901
                    109,                 1.6518,                0.96893,                 1.3098,                0.81377,                0.83009,                0.88526,                0.43076,                 1.8037,                0.97733,                 1.4043,              0.0097881,              0.0097881,              0.0097881
                    110,                 1.5919,                0.93538,                 1.2544,                0.75213,                 0.8368,                0.86407,                0.41944,                 1.7813,                 1.0414,                 1.3996,              0.0097862,              0.0097862,              0.0097862
                    111,                 1.6412,                0.93327,                 1.2566,                0.78522,                0.86407,                0.89046,                0.45819,                 1.7242,                0.94862,                   1.35,              0.0097842,              0.0097842,              0.0097842
                    112,                 1.6698,                0.97282,                  1.277,                0.81275,                0.81335,                0.87382,                0.45551,                 1.7111,                 1.0058,                   1.35,              0.0097822,              0.0097822,              0.0097822
                    113,                 1.6143,                0.92542,                 1.2501,                0.82522,                0.78189,                0.86135,                0.42121,                 1.7594,                 1.0184,                 1.3701,              0.0097802,              0.0097802,              0.0097802
                    114,                   1.63,                 0.9127,                 1.2665,                0.84572,                0.78417,                0.86489,                0.42974,                 1.7666,                 1.0234,                 1.3792,              0.0097782,              0.0097782,              0.0097782
                    115,                 1.6272,                0.90861,                 1.2475,                0.78643,                0.84006,                 0.8511,                0.43847,                 1.7467,                0.95753,                 1.3669,              0.0097763,              0.0097763,              0.0097763
                    116,                 1.6646,                 0.9537,                 1.2585,                 0.7905,                0.88034,                0.90536,                0.45742,                 1.7527,                0.95265,                 1.3712,              0.0097743,              0.0097743,              0.0097743
                    117,                 1.6584,                0.94247,                 1.3075,                0.86567,                0.80675,                0.90605,                0.46488,                 1.7217,                0.94602,                 1.3567,              0.0097723,              0.0097723,              0.0097723
                    118,                 1.6229,                0.92163,                  1.246,                 0.8273,                 0.8516,                0.90746,                0.46056,                 1.7546,                0.92285,                 1.3841,              0.0097703,              0.0097703,              0.0097703
                    119,                 1.6002,                0.91915,                 1.2616,                0.79879,                 0.8737,                 0.9015,                0.45913,                 1.7419,                 0.9232,                 1.3759,              0.0097683,              0.0097683,              0.0097683
                    120,                 1.5924,                0.93032,                 1.2733,                0.83164,                0.81966,                0.88772,                0.44647,                  1.755,                 0.9335,                 1.3759,              0.0097664,              0.0097664,              0.0097664
                    121,                 1.6274,                 0.9264,                 1.2785,                0.78553,                 0.8654,                0.90745,                0.45041,                 1.7295,                0.92769,                 1.3672,              0.0097644,              0.0097644,              0.0097644
                    122,                 1.6274,                0.92879,                 1.2923,                0.82858,                0.83047,                0.90696,                 0.4536,                 1.7876,                0.94593,                 1.4061,              0.0097624,              0.0097624,              0.0097624
                    123,                 1.6297,                 0.9031,                 1.2604,                0.84578,                 0.8554,                0.92328,                0.45757,                 1.7643,                0.93189,                 1.4008,              0.0097604,              0.0097604,              0.0097604
                    124,                  1.621,                0.92688,                 1.2681,                0.78264,                0.87135,                0.88804,                 0.4462,                 1.7383,                 1.0013,                 1.3699,              0.0097584,              0.0097584,              0.0097584
                    125,                 1.6125,                0.91796,                 1.2471,                 0.8332,                0.84034,                0.88921,                0.42947,                 1.7813,                  1.031,                 1.3866,              0.0097565,              0.0097565,              0.0097565
                    126,                   1.57,                0.90295,                 1.2565,                0.78935,                0.88577,                0.89979,                0.45542,                 1.7337,                0.97478,                 1.3578,              0.0097545,              0.0097545,              0.0097545
                    127,                 1.6046,                0.92205,                 1.2694,                0.82915,                0.84432,                 0.9112,                0.46249,                 1.7248,                 1.0094,                  1.348,              0.0097525,              0.0097525,              0.0097525
                    128,                 1.5756,                0.89761,                 1.2177,                0.76831,                0.88289,                0.88127,                 0.4578,                 1.7489,                0.99906,                 1.3694,              0.0097505,              0.0097505,              0.0097505
                    129,                 1.6021,                0.90708,                 1.2463,                0.85775,                 0.8268,                0.89766,                0.46326,                 1.7218,                0.97502,                 1.3556,              0.0097485,              0.0097485,              0.0097485
                    130,                 1.6213,                0.90808,                 1.2708,                 0.8371,                0.77933,                0.87993,                0.46089,                 1.7572,                  1.001,                 1.3726,              0.0097466,              0.0097466,              0.0097466
                    131,                 1.5669,                0.87766,                 1.2516,                0.82331,                  0.854,                0.88376,                0.44638,                  1.714,                0.96047,                 1.3655,              0.0097446,              0.0097446,              0.0097446
                    132,                 1.5542,                 0.8778,                 1.2247,                0.88189,                0.82523,                0.90647,                0.47753,                  1.669,                0.90214,                 1.3313,              0.0097426,              0.0097426,              0.0097426
                    133,                 1.5682,                0.84303,                 1.2143,                0.86613,                0.87034,                0.90938,                0.46491,                 1.7131,                0.90408,                 1.3566,              0.0097406,              0.0097406,              0.0097406
                    134,                 1.5541,                0.83952,                 1.2074,                0.86516,                0.83002,                 0.9087,                0.44062,                  1.749,                0.91249,                 1.3532,              0.0097386,              0.0097386,              0.0097386
                    135,                 1.5924,                0.88188,                 1.2647,                0.86899,                0.78848,                0.89444,                0.46555,                 1.6646,                0.90656,                 1.3193,              0.0097367,              0.0097367,              0.0097367
                    136,                 1.5509,                0.88283,                  1.233,                0.79305,                0.88724,                0.91108,                0.46167,                 1.7059,                0.88287,                 1.3336,              0.0097347,              0.0097347,              0.0097347
                    137,                 1.5943,                0.87551,                 1.2341,                0.85297,                0.77875,                0.88453,                0.41559,                 1.8297,                   0.99,                 1.3934,              0.0097327,              0.0097327,              0.0097327
                    138,                 1.5629,                0.87117,                 1.2437,                0.83844,                0.86893,                 0.8961,                  0.427,                  1.802,                0.91656,                 1.3772,              0.0097307,              0.0097307,              0.0097307
